s,C,g/g,g/g,g/g,g/g,g/g,1/s,1/s,1/s,1/s,1/s,W/g,W/g
Time,Temp,Total Mass,vegetation Mass,MOISTURE Mass,CHAR Mass,ASH Mass,Total MLR,vegetation MLR,MOISTURE MLR,CHAR MLR,ASH MLR,MCC,DSC
 9.9999998E-003, 2.5000055E+001, 1.0000000E+000, 3.3987790E-001, 6.6012210E-001, 3.9045292E-013, 0.0000000E+000, 2.4082984E-008, 1.0061027E-010, 2.4021420E-008,-3.9045291E-011, 0.0000000E+000, 0.0000000E+000, 3.5267860E-002
 1.2000000E+001, 2.5998333E+001, 9.9999970E-001, 3.3987790E-001, 6.6012180E-001, 4.9314969E-010, 0.0000000E+000, 2.7842752E-008, 1.1136516E-010, 2.7774606E-008,-4.3219098E-011, 0.0000000E+000, 0.0000000E+000, 2.6630643E-001
 2.4000000E+001, 2.6998333E+001, 9.9999934E-001, 3.3987790E-001, 6.6012144E-001, 1.0389659E-009, 0.0000000E+000, 3.2170192E-008, 1.2321759E-010, 3.2094793E-008,-4.7818839E-011, 0.0000000E+000, 0.0000000E+000, 2.6641995E-001
 3.6000000E+001, 2.7998333E+001, 9.9999893E-001, 3.3987790E-001, 6.6012102E-001, 1.6426658E-009, 0.0000000E+000, 3.7134729E-008, 1.3623989E-010, 3.7051361E-008,-5.2872599E-011, 0.0000000E+000, 0.0000000E+000, 2.6653501E-001
 4.8000000E+001, 2.8998333E+001, 9.9999845E-001, 3.3987790E-001, 6.6012055E-001, 2.3099418E-009, 0.0000000E+000, 4.2824873E-008, 1.5053835E-010, 4.2732758E-008,-5.8421601E-011, 0.0000000E+000, 0.0000000E+000, 2.6665184E-001
 6.0000000E+001, 2.9998333E+001, 9.9999785E-001, 3.3987787E-001, 6.6012001E-001, 3.0470015E-009, 0.0000000E+000, 4.9340674E-008, 1.6622793E-010, 4.9238956E-008,-6.4510487E-011, 0.0000000E+000, 0.0000000E+000, 2.6677072E-001
 7.2000000E+001, 3.0998333E+001, 9.9999726E-001, 3.3987787E-001, 6.6011935E-001, 3.8606096E-009, 0.0000000E+000, 5.6795137E-008, 1.8343312E-010, 5.6682889E-008,-7.1187556E-011, 0.0000000E+000, 0.0000000E+000, 2.6689187E-001
 8.4000000E+001, 3.1998333E+001, 9.9999654E-001, 3.3987787E-001, 6.6011864E-001, 4.7581339E-009, 0.0000000E+000, 6.5315788E-008, 2.0228846E-010, 6.5192005E-008,-7.8505022E-011, 0.0000000E+000, 0.0000000E+000, 2.6701564E-001
 9.6000000E+001, 3.2998333E+001, 9.9999565E-001, 3.3987787E-001, 6.6011781E-001, 5.7475935E-009, 0.0000000E+000, 7.5046415E-008, 2.2293943E-010, 7.4909998E-008,-8.6519347E-011, 0.0000000E+000, 0.0000000E+000, 2.6714236E-001
 1.0800000E+002, 3.3998333E+001, 9.9999470E-001, 3.3987787E-001, 6.6011685E-001, 6.8377126E-009, 0.0000000E+000, 8.6149008E-008, 2.4554314E-010, 8.5998757E-008,-9.5291490E-011, 0.0000000E+000, 0.0000000E+000, 2.6727241E-001
 1.2000000E+002, 3.4998333E+001, 9.9999362E-001, 3.3987787E-001, 6.6011572E-001, 8.0379747E-009, 0.0000000E+000, 9.8805906E-008, 2.7026914E-010, 9.8640527E-008,-1.0488728E-010, 0.0000000E+000, 0.0000000E+000, 2.6740623E-001
 1.3200000E+002, 3.5998333E+001, 9.9999231E-001, 3.3987787E-001, 6.6011447E-001, 9.3586854E-009, 0.0000000E+000, 1.1322218E-007, 2.9730046E-010, 1.1304026E-007,-1.1537771E-010, 0.0000000E+000, 0.0000000E+000, 2.6754436E-001
 1.4400000E+002, 3.6998333E+001, 9.9999088E-001, 3.3987787E-001, 6.6011298E-001, 1.0811034E-008, 0.0000000E+000, 1.2962826E-007, 3.2683437E-010, 1.2942827E-007,-1.2683936E-010, 0.0000000E+000, 0.0000000E+000, 2.6768729E-001
 1.5600000E+002, 3.7998329E+001, 9.9998921E-001, 3.3987787E-001, 6.6011131E-001, 1.2407164E-008, 0.0000000E+000, 1.4828291E-007, 3.5908351E-010, 1.4806318E-007,-1.3935475E-010, 0.0000000E+000, 0.0000000E+000, 2.6783568E-001
 1.6800000E+002, 3.8998329E+001, 9.9998730E-001, 3.3987787E-001, 6.6010946E-001, 1.4160249E-008, 0.0000000E+000, 1.6947641E-007, 3.9427692E-010, 1.6923514E-007,-1.5301277E-010, 0.0000000E+000, 0.0000000E+000, 2.6799023E-001
 1.8000000E+002, 3.9998329E+001, 9.9998516E-001, 3.3987784E-001, 6.6010725E-001, 1.6084567E-008, 0.0000000E+000, 1.9353416E-007, 4.3266116E-010, 1.9326940E-007,-1.6790910E-010, 0.0000000E+000, 0.0000000E+000, 2.6815170E-001
 1.9200000E+002, 4.0998329E+001, 9.9998266E-001, 3.3987784E-001, 6.6010475E-001, 1.8195587E-008, 0.0000000E+000, 2.2082067E-007, 4.7450149E-010, 2.2053031E-007,-1.8414670E-010, 0.0000000E+000, 0.0000000E+000, 2.6832095E-001
 2.0400000E+002, 4.1998329E+001, 9.9997979E-001, 3.3987784E-001, 6.6010195E-001, 2.0510063E-008, 0.0000000E+000, 2.5174390E-007, 5.2008325E-010, 2.5142563E-007,-2.0183627E-010, 0.0000000E+000, 0.0000000E+000, 2.6849902E-001
 2.1600000E+002, 4.2998329E+001, 9.9997658E-001, 3.3987784E-001, 6.6009873E-001, 2.3046125E-008, 0.0000000E+000, 2.8676004E-007, 5.6971300E-010, 2.8641142E-007,-2.2109679E-010, 0.0000000E+000, 0.0000000E+000, 2.6868692E-001
 2.2800000E+002, 4.3998329E+001, 9.9997294E-001, 3.3987784E-001, 6.6009504E-001, 2.5823381E-008, 0.0000000E+000, 3.2637897E-007, 6.2372013E-010, 3.2599732E-007,-2.4205613E-010, 0.0000000E+000, 0.0000000E+000, 2.6888594E-001
 2.4000000E+002, 4.4998329E+001, 9.9996871E-001, 3.3987781E-001, 6.6009086E-001, 2.8863033E-008, 0.0000000E+000, 3.7116993E-007, 6.8245826E-010, 3.7075230E-007,-2.6485150E-010, 0.0000000E+000, 0.0000000E+000, 2.6909739E-001
 2.5200000E+002, 4.5998325E+001, 9.9996400E-001, 3.3987781E-001, 6.6008615E-001, 3.2187987E-008, 0.0000000E+000, 4.2176808E-007, 7.4630702E-010, 4.2131140E-007,-2.8963021E-010, 0.0000000E+000, 0.0000000E+000, 2.6932275E-001
 2.6400000E+002, 4.6998325E+001, 9.9995857E-001, 3.3987781E-001, 6.6008073E-001, 3.5822982E-008, 0.0000000E+000, 4.7888159E-007, 8.1567336E-010, 4.7838250E-007,-3.1655023E-010, 0.0000000E+000, 0.0000000E+000, 2.6956379E-001
 2.7600000E+002, 4.7998325E+001, 9.9995244E-001, 3.3987778E-001, 6.6007465E-001, 3.9794713E-008, 0.0000000E+000, 5.4329945E-007, 8.9099378E-010, 5.4275426E-007,-3.4578090E-010, 0.0000000E+000, 0.0000000E+000, 2.6982233E-001
 2.8800000E+002, 4.8998325E+001, 9.9994552E-001, 3.3987778E-001, 6.6006768E-001, 4.4131994E-008, 0.0000000E+000, 6.1589992E-007, 9.7273578E-010, 6.1530471E-007,-3.7750372E-010, 0.0000000E+000, 0.0000000E+000, 2.7010047E-001
 3.0000000E+002, 4.9998322E+001, 9.9993765E-001, 3.3987778E-001, 6.6005981E-001, 4.8865878E-008, 0.0000000E+000, 6.9766008E-007, 1.0614003E-009, 6.9701059E-007,-4.1191303E-010, 0.0000000E+000, 0.0000000E+000, 2.7040052E-001
 3.1200000E+002, 5.0998322E+001, 9.9992871E-001, 3.3987775E-001, 6.6005093E-001, 5.4029844E-008, 0.0000000E+000, 7.8966593E-007, 1.1575233E-009, 7.8895761E-007,-4.4921689E-010, 0.0000000E+000, 0.0000000E+000, 2.7072504E-001
 3.2400000E+002, 5.1998322E+001, 9.9991864E-001, 3.3987775E-001, 6.6004086E-001, 5.9659939E-008, 0.0000000E+000, 8.9312391E-007, 1.2616784E-009, 8.9235186E-007,-4.8963789E-010, 0.0000000E+000, 0.0000000E+000, 2.7107689E-001
